id,year,course name,status
2777729,1,science,allowed
2777730,2,science,allowed
2777765,1,arts,allowed
2777766,2,arts,allowed
2777785,1,mba,allowed
2777786,2,mba,allowed
2777793,1,mba 2nd shift,not allowed
2777794,2,mba 2nd shift,not allowed
2777795,1,mca 2nd shift,not allowed
2777796,2,mca 2nd shift,not allowed
2777797,3,mca 2nd shift,not allowed
2777798,1,bjmc,not allowed
2777799,2,bjmc,not allowed
2777800,3,bjmc,not allowed
2777814,1,history,allowed
2777815,2,history,allowed
2777837,4,chemistry,allowed
2777858,4,botany,allowed
2604364,1,history,allowed
2604408,3,finance,allowed
2604407,2,finance,allowed
2604420,1,physics,allowed
2777899,1,computer science,allowed
2604365,2,history,allowed
2604413,2,english,allowed
2604406,1,finance,allowed
2604366,3,history,allowed
2604412,1,english,allowed
2604421,2,physics,allowed
2777900,4,commerce,not allowed
2777918,1,applied science & humanities,not allowed
2777919,2,applied science & humanities,not allowed
2777920,3,applied science & humanities,not allowed
2777924,1,political science,allowed
2777925,2,political science,allowed
2777938,1,arts,allowed
2777939,2,arts,allowed
2777940,3,arts,allowed
2777943,1,btc 2013,not allowed
2777944,2,btc 2013,not allowed
2777978,1,botany,allowed
2777979,2,botany,allowed
2267347,3,science,allowed
2267346,2,science,allowed
2267345,1,science,allowed
2778042,1,mobile communication,not allowed
2778043,2,mobile communication,not allowed
2778044,3,mobile communication,not allowed
2778045,1,computer engg,not allowed
2778046,2,computer engg,not allowed
2778047,3,computer engg,not allowed
2778048,1,digital electronics,not allowed
2778049,2,digital electronics,not allowed
2778050,3,digital electronics,not allowed
2778069,1,science arts,not allowed
2778070,2,science arts,not allowed
2604139,1,arts,allowed
2604140,2,arts,allowed
2778185,1,molecular virology,not allowed
2778186,2,molecular virology,not allowed
2778023,2,commerce,allowed
2778021,3,science,allowed
2778020,2,science,allowed
2778019,1,science,allowed
2778022,1,commerce,allowed
2778014,1,english geography,not allowed
2778015,2,english geography,not allowed
2778024,3,commerce,allowed
2778255,1,science,allowed
2778256,2,science,allowed
2778257,3,science,allowed
2778347,1,arts,allowed
2778348,2,arts,allowed
2778349,3,arts,allowed
2778352,1,chemistry,allowed
2778353,2,chemistry,allowed
2778412,1,physics,allowed
2778413,2,physics,allowed
2778444,1,economics,allowed
2778445,2,economics,allowed
2778446,3,economics,allowed
2778456,1,chemical engineering,allowed
2778457,2,chemical engineering,allowed
2778458,3,chemical engineering,allowed
2778459,4,chemical engineering,allowed
2778460,5,chemical engineering,allowed
2778463,1,infra structural engineering,not allowed
2778464,2,infra structural engineering,not allowed
2778512,1,electronics & communication engineering,not allowed
2778513,2,electronics & communication engineering,not allowed
2778514,3,electronics & communication engineering,not allowed
2778515,4,electronics & communication engineering,not allowed
2778516,1,drugs and pharmaceuticals,not allowed
2778517,2,drugs and pharmaceuticals,not allowed
2778528,1,fibre optics and communication,not allowed
2778529,2,fibre optics and communication,not allowed
2778552,1,mechanical engineering,allowed
2778553,2,mechanical engineering,allowed
2778554,3,mechanical engineering,allowed
2778555,4,mechanical engineering,allowed
2778556,5,mechanical engineering,allowed
2778557,1,computer science & engineering,allowed
2778558,2,computer science & engineering,allowed
2778559,3,computer science & engineering,allowed
