id,year,course name,status,room assignment
2777729,1,science,allowed,Auditorium
2777730,2,science,allowed,Auditorium
2777765,1,arts,allowed,Auditorium
2777766,2,arts,allowed,Auditorium
2777785,1,mba,allowed,Small room
2777786,2,mba,allowed,Small room
2777793,1,mba 2nd shift,not allowed,not assigned
2777794,2,mba 2nd shift,not allowed,not assigned
2777795,1,mca 2nd shift,not allowed,not assigned
2777796,2,mca 2nd shift,not allowed,not assigned
2777797,3,mca 2nd shift,not allowed,not assigned
2777798,1,bjmc,not allowed,not assigned
2777799,2,bjmc,not allowed,not assigned
2777800,3,bjmc,not allowed,not assigned
2777814,1,history,allowed,Medium room
2777815,2,history,allowed,Medium room
2777837,4,chemistry,allowed,Medium room
2777858,4,botany,allowed,Medium room
2604364,1,history,allowed,Medium room
2604408,3,finance,allowed,Small room
2604407,2,finance,allowed,Small room
2604420,1,physics,allowed,Medium room
2777899,1,computer science,allowed,Medium room
2604365,2,history,allowed,Medium room
2604413,2,english,allowed,Large room
2604406,1,finance,allowed,Small room
2604366,3,history,allowed,Medium room
2604412,1,english,allowed,Large room
2604421,2,physics,allowed,Medium room
2777900,4,commerce,not allowed,not assigned
2777918,1,applied science & humanities,not allowed,not assigned
2777919,2,applied science & humanities,not allowed,not assigned
2777920,3,applied science & humanities,not allowed,not assigned
2777924,1,political science,allowed,Small room
2777925,2,political science,allowed,Small room
2777938,1,arts,allowed,Auditorium
2777939,2,arts,allowed,Auditorium
2777940,3,arts,allowed,Auditorium
2777943,1,btc 2013,not allowed,not assigned
2777944,2,btc 2013,not allowed,not assigned
2777978,1,botany,allowed,Medium room
2777979,2,botany,allowed,Medium room
2267347,3,science,allowed,Auditorium
2267346,2,science,allowed,Auditorium
2267345,1,science,allowed,Auditorium
2778042,1,mobile communication,not allowed,not assigned
2778043,2,mobile communication,not allowed,not assigned
2778044,3,mobile communication,not allowed,not assigned
2778045,1,computer engg,not allowed,not assigned
2778046,2,computer engg,not allowed,not assigned
2778047,3,computer engg,not allowed,not assigned
2778048,1,digital electronics,not allowed,not assigned
2778049,2,digital electronics,not allowed,not assigned
2778050,3,digital electronics,not allowed,not assigned
2778069,1,science arts,not allowed,not assigned
2778070,2,science arts,not allowed,not assigned
2604139,1,arts,allowed,Auditorium
2604140,2,arts,allowed,Auditorium
2778185,1,molecular virology,not allowed,not assigned
2778186,2,molecular virology,not allowed,not assigned
2778023,2,commerce,allowed,Auditorium
2778021,3,science,allowed,Auditorium
2778020,2,science,allowed,Auditorium
2778019,1,science,allowed,Auditorium
2778022,1,commerce,allowed,Auditorium
2778014,1,english geography,not allowed,not assigned
2778015,2,english geography,not allowed,not assigned
2778024,3,commerce,allowed,Auditorium
2778255,1,science,allowed,Auditorium
2778256,2,science,allowed,Auditorium
2778257,3,science,allowed,Auditorium
2778347,1,arts,allowed,Auditorium
2778348,2,arts,allowed,Auditorium
2778349,3,arts,allowed,Auditorium
2778352,1,chemistry,allowed,Medium room
2778353,2,chemistry,allowed,Medium room
2778412,1,physics,allowed,Medium room
2778413,2,physics,allowed,Medium room
2778444,1,economics,allowed,Medium room
2778445,2,economics,allowed,Medium room
2778446,3,economics,allowed,Medium room
2778456,1,chemical engineering,allowed,Medium room
2778457,2,chemical engineering,allowed,Medium room
2778458,3,chemical engineering,allowed,Medium room
2778459,4,chemical engineering,allowed,Medium room
2778460,5,chemical engineering,allowed,Medium room
2778463,1,infra structural engineering,not allowed,not assigned
2778464,2,infra structural engineering,not allowed,not assigned
2778512,1,electronics & communication engineering,not allowed,not assigned
2778513,2,electronics & communication engineering,not allowed,not assigned
2778514,3,electronics & communication engineering,not allowed,not assigned
2778515,4,electronics & communication engineering,not allowed,not assigned
2778516,1,drugs and pharmaceuticals,not allowed,not assigned
2778517,2,drugs and pharmaceuticals,not allowed,not assigned
2778528,1,fibre optics and communication,not allowed,not assigned
2778529,2,fibre optics and communication,not allowed,not assigned
2778552,1,mechanical engineering,allowed,Medium room
2778553,2,mechanical engineering,allowed,Medium room
2778554,3,mechanical engineering,allowed,Medium room
2778555,4,mechanical engineering,allowed,Medium room
2778556,5,mechanical engineering,allowed,Medium room
2778557,1,computer science & engineering,allowed,Small room
2778558,2,computer science & engineering,allowed,Small room
2778559,3,computer science & engineering,allowed,Small room
2778560,4,computer science & engineering,allowed,Small room
2778561,1,civil engineering,allowed,Medium room
2778562,2,civil engineering,allowed,Medium room
2778563,3,civil engineering,allowed,Medium room
2778564,4,civil engineering,allowed,Medium room
2778565,5,civil engineering,allowed,Medium room
2778597,1,d.el.ed,not allowed,not assigned
2778598,2,d.el.ed,not allowed,not assigned
2778618,1,bengali,allowed,Small room
2778619,2,bengali,allowed,Small room
2778620,3,bengali,allowed,Small room
2778723,1,bengali,allowed,Small room
2778724,2,bengali,allowed,Small room
2778725,3,bengali,allowed,Small room
2778784,1,ece,allowed,Small room
2778785,2,ece,allowed,Small room
2778786,3,ece,allowed,Small room
2778787,4,ece,allowed,Small room
2778806,1,management,allowed,Medium room
2778807,2,management,allowed,Medium room
2778808,3,management,allowed,Medium room
2778809,1,management,allowed,Medium room
2778810,2,management,allowed,Medium room
2778811,3,management,allowed,Medium room
2778818,1,civil,allowed,Medium room
2778819,2,civil,allowed,Medium room
2778820,3,civil,allowed,Medium room
2778839,1,mathematics,allowed,Medium room
2778840,2,mathematics,allowed,Medium room
2778841,3,mathematics,allowed,Medium room
2778845,1,commerce,allowed,Auditorium
2778846,2,commerce,allowed,Auditorium
2778847,3,commerce,allowed,Auditorium
2778869,1,english,allowed,Large room
2778870,2,english,allowed,Large room
2778871,3,english,allowed,Large room
2639157,2,arts,allowed,Auditorium
2639158,3,arts,allowed,Auditorium
2639156,1,arts,allowed,Auditorium
2778896,1,arts,allowed,Auditorium
2778897,2,arts,allowed,Auditorium
2778898,3,arts,allowed,Auditorium
2779070,1,general,allowed,Medium room
2779071,2,general,allowed,Medium room
2779072,3,general,allowed,Medium room
2779091,1,microbiology-botany-chemistry,not allowed,not assigned
2779092,2,microbiology-botany-chemistry,not allowed,not assigned
2779093,3,microbiology-botany-chemistry,not allowed,not assigned
2779094,1,b.b.m,not allowed,not assigned
2779095,2,b.b.m,not allowed,not assigned
2779096,3,b.b.m,not allowed,not assigned
2779182,1,science,allowed,Auditorium
2779183,2,science,allowed,Auditorium
2779184,3,science,allowed,Auditorium
2779219,1,commerce,allowed,Auditorium
2779220,2,commerce,allowed,Auditorium
2779221,3,commerce,allowed,Auditorium
2779222,4,commerce,not allowed,not assigned
2779286,1,music,allowed,Small room
2779287,2,music,allowed,Small room
2779288,3,music,allowed,Small room
2779289,4,music,allowed,Small room
2779300,1,sociology,allowed,Small room
2779301,2,sociology,allowed,Small room
2779302,3,sociology,allowed,Small room
2779303,4,sociology,allowed,Small room
2779304,1,mathematics,allowed,Medium room
2779305,2,mathematics,allowed,Medium room
2779306,3,mathematics,allowed,Medium room
2779318,1,philosophy,allowed,Small room
2779319,2,philosophy,allowed,Small room
2779320,3,philosophy,allowed,Small room
2779321,4,philosophy,allowed,Small room
2779322,1,english,allowed,Large room
2779323,2,english,allowed,Large room
2779324,3,english,allowed,Large room
2779325,4,english,allowed,Large room
2779341,1,english,allowed,Large room
2779342,2,english,allowed,Large room
2779343,3,english,allowed,Large room
2779350,1,botany,allowed,Medium room
2779351,2,botany,allowed,Medium room
2779352,3,botany,allowed,Medium room
2779362,1,sanskrit,allowed,Small room
2779363,2,sanskrit,allowed,Small room
2779364,3,sanskrit,allowed,Small room
2605328,2,mathematics,allowed,Medium room
2605304,1,sociology,allowed,Small room
2605318,1,urdu,allowed,Small room
2605329,3,mathematics,allowed,Medium room
2605319,2,urdu,allowed,Small room
2605327,1,mathematics,allowed,Medium room
2605306,3,sociology,allowed,Small room
2605305,2,sociology,allowed,Small room
2605320,3,urdu,allowed,Small room
2779378,1,co,not allowed,not assigned
2779379,2,co,not allowed,not assigned
2779380,3,co,not allowed,not assigned
2779390,1,education,allowed,Large room
2779411,1,science,allowed,Auditorium
2779412,2,science,allowed,Auditorium
2779413,3,science,allowed,Auditorium
2779417,1,education,allowed,Large room
2779418,2,education,allowed,Large room
2779419,1,general,allowed,Medium room
2779420,2,general,allowed,Medium room
2779421,3,general,allowed,Medium room
2779439,1,mechanical,allowed,Medium room
2779440,2,mechanical,allowed,Medium room
2779441,3,mechanical,allowed,Medium room
2779453,1,commerce,allowed,Auditorium
2779454,2,commerce,allowed,Auditorium
2779476,1,pali,allowed,Small room
2779477,2,pali,allowed,Small room
2779478,3,pali,allowed,Small room
2779518,1,zoology,allowed,Medium room
2779519,2,zoology,allowed,Medium room
2779520,3,zoology,allowed,Medium room
2779551,1,home science,allowed,Small room
2779552,2,home science,allowed,Small room
2779553,3,home science,allowed,Small room
2779592,1,mechanical,allowed,Medium room
2779593,2,mechanical,allowed,Medium room
2779594,3,mechanical,allowed,Medium room
2779647,1,business administration,allowed,Small room
2779648,2,business administration,allowed,Small room
2779716,1,science,allowed,Auditorium
2779717,2,science,allowed,Auditorium
2779718,3,science,allowed,Auditorium
2779761,1,civil engineering,allowed,Medium room
2779762,2,civil engineering,allowed,Medium room
2779763,3,civil engineering,allowed,Medium room
2779770,1,arts,allowed,Auditorium
2779771,2,arts,allowed,Auditorium
2779772,3,arts,allowed,Auditorium
2779822,1,taalvadya-parichay,not allowed,not assigned
2779823,2,taalvadya-parichay,not allowed,not assigned
2779862,1,dance-parangat,not allowed,not assigned
2779863,2,dance-parangat,not allowed,not assigned
2779882,1,business administration,allowed,Small room
2779883,2,business administration,allowed,Small room
2779936,1,civil engineering,allowed,Medium room
2779937,2,civil engineering,allowed,Medium room
2779938,3,civil engineering,allowed,Medium room
2779939,4,civil engineering,allowed,Medium room
2779964,1,science,allowed,Auditorium
2779965,2,science,allowed,Auditorium
2779966,3,science,allowed,Auditorium
2779974,1,nursing,allowed,Medium room
2779975,2,nursing,allowed,Medium room
2779976,3,nursing,allowed,Medium room
2779977,1,arts,allowed,Auditorium
2779978,2,arts,allowed,Auditorium
2779979,3,arts,allowed,Auditorium
2780046,3,science,allowed,Auditorium
2780047,1,science,allowed,Auditorium
2780050,1,arts,allowed,Auditorium
2780056,2,science,allowed,Auditorium
2780059,3,science,allowed,Auditorium
2780061,2,arts,allowed,Auditorium
2780063,1,science,allowed,Auditorium
2780066,3,arts,allowed,Auditorium
2780067,2,science,allowed,Auditorium
2780070,2,science,allowed,Auditorium
2780073,3,science,allowed,Auditorium
2780078,1,science,allowed,Auditorium
2780124,1,mat,not allowed,not assigned
2780125,2,mat,not allowed,not assigned
2780126,3,mat,not allowed,not assigned
2780157,1,electro nics and commun ications enginee ring,not allowed,not assigned
2780158,2,electro nics and commun ications enginee ring,not allowed,not assigned
2780171,1,mechanical engg.,not allowed,not assigned
2780172,2,mechanical engg.,not allowed,not assigned
2780173,3,mechanical engg.,not allowed,not assigned
2780174,4,mechanical engg.,not allowed,not assigned
2780205,1,science,allowed,Auditorium
2780206,2,science,allowed,Auditorium
2780207,3,science,allowed,Auditorium
2777622,1,electronics,allowed,Small room
2777624,3,electronics,allowed,Small room
2777648,1,administration services,not allowed,not assigned
2777650,3,administration services,not allowed,not assigned
2777649,2,administration services,not allowed,not assigned
2777623,2,electronics,allowed,Small room
2777625,4,electronics,allowed,Small room
2780258,1,git,not allowed,not assigned
2780259,2,git,not allowed,not assigned
2780263,1,arts,allowed,Auditorium
2780264,2,arts,allowed,Auditorium
2780265,3,arts,allowed,Auditorium
2780266,4,arts,allowed,Auditorium
2780267,5,arts,allowed,Auditorium
2780268,5,arts,allowed,Auditorium
2780269,5,arts,allowed,Auditorium
2780270,5,arts,allowed,Auditorium
2780274,1,education,allowed,Large room
2780275,2,education,allowed,Large room
2780308,1,philosophy,allowed,Small room
2780309,2,philosophy,allowed,Small room
2780310,3,philosophy,allowed,Small room
2780311,1,geography,allowed,Small room
2780312,2,geography,allowed,Small room
2780313,3,geography,allowed,Small room
2780420,1,science,allowed,Auditorium
2780421,2,science,allowed,Auditorium
2780422,3,science,allowed,Auditorium
2780461,1,veterinary epidemiology & preventive medicine,not allowed,not assigned
2780462,2,veterinary epidemiology & preventive medicine,not allowed,not assigned
2780513,1,science,allowed,Auditorium
2780514,2,science,allowed,Auditorium
2780515,3,science,allowed,Auditorium
2780533,1,library,not allowed,not assigned
2780597,1,computer,allowed,Medium room
2780598,2,computer,allowed,Medium room
2780603,1,computer,allowed,Medium room
2780604,2,computer,allowed,Medium room
2780605,3,computer,allowed,Medium room
2780606,4,computer,allowed,Medium room
2780890,1,diploma in computer engineering,not allowed,not assigned
2780891,2,diploma in computer engineering,not allowed,not assigned
2780892,3,diploma in computer engineering,not allowed,not assigned
2780905,1,d.ed,not allowed,not assigned
2780906,2,d.ed,not allowed,not assigned
2780913,1,commerce,allowed,Auditorium
2780914,2,commerce,allowed,Auditorium
2780915,3,commerce,allowed,Auditorium
2780936,1,electronics and communication,not allowed,not assigned
2780937,2,electronics and communication,not allowed,not assigned
2780938,3,electronics and communication,not allowed,not assigned
2780939,4,electronics and communication,not allowed,not assigned
2781009,2,environmental engg.,not allowed,not assigned
2781004,1,environment,not allowed,not assigned
2781026,1,nuclear science & engineering,not allowed,not assigned
2781008,1,environmental engg.,not allowed,not assigned
2781006,3,environment,not allowed,not assigned
2781007,4,environment,not allowed,not assigned
2781027,2,nuclear science & engineering,not allowed,not assigned
2781005,2,environment,not allowed,not assigned
2781244,1,sanskrit,allowed,Small room
2781245,2,sanskrit,allowed,Small room
2781246,3,sanskrit,allowed,Small room
2781247,1,urdu,allowed,Small room
2781248,2,urdu,allowed,Small room
2781249,3,urdu,allowed,Small room
2781262,1,maithili,allowed,Small room
2781263,2,maithili,allowed,Small room
2781264,3,maithili,allowed,Small room
2781277,1,computer,allowed,Medium room
2781278,2,computer,allowed,Medium room
2781279,3,computer,allowed,Medium room
2781290,1,discipline,not allowed,not assigned
2781291,2,discipline,not allowed,not assigned
2781292,3,discipline,not allowed,not assigned
2781311,1,mathematics,allowed,Medium room
2781314,1,computer engineering,allowed,Small room
2781315,2,computer engineering,allowed,Small room
2781316,3,computer engineering,allowed,Small room
2781320,1,electronics engineering,not allowed,not assigned
2781321,2,electronics engineering,not allowed,not assigned
2781322,3,electronics engineering,not allowed,not assigned
2781331,1,cse,allowed,Medium room
2781332,2,cse,allowed,Medium room
2781333,3,cse,allowed,Medium room
2781334,4,cse,allowed,Medium room
2781350,1,arts,allowed,Auditorium
2781351,2,arts,allowed,Auditorium
2781352,3,arts,allowed,Auditorium
2781359,1,cse,allowed,Medium room
2781360,2,cse,allowed,Medium room
2781361,3,cse,allowed,Medium room
2781362,4,cse,allowed,Medium room
2781463,1,quality assurance,not allowed,not assigned
2781464,2,quality assurance,not allowed,not assigned
2781568,1,sociology,allowed,Small room
2781569,2,sociology,allowed,Small room
2781570,3,sociology,allowed,Small room
2781583,1,arts,allowed,Auditorium
2781584,2,arts,allowed,Auditorium
2781585,3,arts,allowed,Auditorium
2781625,1,arts,allowed,Auditorium
2781626,2,arts,allowed,Auditorium
2781627,3,arts,allowed,Auditorium
2781631,1,science,allowed,Auditorium
2781632,2,science,allowed,Auditorium
2781633,3,science,allowed,Auditorium
2781643,1,commerce,allowed,Auditorium
2781644,2,commerce,allowed,Auditorium
2781645,3,commerce,allowed,Auditorium
2781658,1,maths,allowed,Small room
2781659,2,maths,allowed,Small room
2781660,3,maths,allowed,Small room
2781742,1,education,allowed,Large room
2781743,2,education,allowed,Large room
2781790,1,commerce,allowed,Auditorium
2781791,2,commerce,allowed,Auditorium
2781792,3,commerce,allowed,Auditorium
2781793,1,computer application,allowed,Medium room
2781794,2,computer application,allowed,Medium room
2781795,3,computer application,allowed,Medium room
2781796,1,arts,allowed,Auditorium
2781797,2,arts,allowed,Auditorium
2781798,3,arts,allowed,Auditorium
2781836,1,english,allowed,Large room
2781837,2,english,allowed,Large room
2781838,3,english,allowed,Large room
2781839,1,business administration,allowed,Small room
2781840,2,business administration,allowed,Small room
2781841,1,law,allowed,Medium room
2781842,2,law,allowed,Medium room
2781843,3,law,allowed,Medium room
2781844,1,dcl,not allowed,not assigned
2781869,1,construction technology,not allowed,not assigned
2781870,2,construction technology,not allowed,not assigned
2781893,1,english,allowed,Large room
2781894,2,english,allowed,Large room
2781949,1,database,not allowed,not assigned
2781950,2,database,not allowed,not assigned
2781951,3,database,not allowed,not assigned
2781952,4,database,not allowed,not assigned
2781953,1,hcl,not allowed,not assigned
2781954,2,hcl,not allowed,not assigned
2781961,1,data structure,not allowed,not assigned
2781962,2,data structure,not allowed,not assigned
2781963,3,data structure,not allowed,not assigned
2781964,4,data structure,not allowed,not assigned
2781977,1,korean,not allowed,not assigned
2781978,2,korean,not allowed,not assigned
2781979,3,korean,not allowed,not assigned
2781980,4,korean,not allowed,not assigned
2781983,1,computer architecture,not allowed,not assigned
2781984,2,computer architecture,not allowed,not assigned
2781985,3,computer architecture,not allowed,not assigned
2781986,4,computer architecture,not allowed,not assigned
2782002,1,civil,allowed,Medium room
2782003,2,civil,allowed,Medium room
2782004,3,civil,allowed,Medium room
2782116,1,commerce,allowed,Auditorium
2782117,2,commerce,allowed,Auditorium
2782118,3,commerce,allowed,Auditorium
2782122,1,management,allowed,Medium room
2782123,2,management,allowed,Medium room
2782124,3,management,allowed,Medium room
2782127,1,commerce,allowed,Auditorium
2782128,2,commerce,allowed,Auditorium
2782214,1,general,allowed,Medium room
2782215,2,general,allowed,Medium room
2782216,3,general,allowed,Medium room
2782217,4,general,allowed,Medium room
2782235,1,sanskrit,allowed,Small room
2782236,2,sanskrit,allowed,Small room
2782237,3,sanskrit,allowed,Small room
2782265,1,hindi,allowed,Small room
2782266,2,hindi,allowed,Small room
2782267,3,hindi,allowed,Small room
2782292,1,urdu,allowed,Small room
2782293,2,urdu,allowed,Small room
2782294,3,urdu,allowed,Small room
2249190,2,admistrator,not allowed,not assigned
2249189,1,admistrator,not allowed,not assigned
2249191,3,admistrator,not allowed,not assigned
2782348,1,science,allowed,Auditorium
2782349,2,science,allowed,Auditorium
2782350,3,science,allowed,Auditorium
2782387,1,civit,not allowed,not assigned
2782388,2,civit,not allowed,not assigned
2782389,3,civit,not allowed,not assigned
2782393,1,electrical,allowed,Medium room
2782394,2,electrical,allowed,Medium room
2782395,3,electrical,allowed,Medium room
2782407,1,coumputer science,allowed,Medium room
2782408,4,coumputer science,allowed,Medium room
2782410,2,coumputer science,allowed,Medium room
2782412,3,coumputer science,allowed,Medium room
2782460,1,ca,allowed,Small room
2782461,2,ca,allowed,Small room
2782462,3,ca,allowed,Small room
2782463,1,it cs,not allowed,not assigned
2782464,2,it cs,not allowed,not assigned
2782470,1,science,allowed,Auditorium
2782471,2,science,allowed,Auditorium
2782472,3,science,allowed,Auditorium
2782536,1,arts,allowed,Auditorium
2782537,1,arts,allowed,Auditorium
2782538,2,arts,allowed,Auditorium
2782539,2,arts,allowed,Auditorium
2782540,3,arts,allowed,Auditorium
2782541,3,arts,allowed,Auditorium
2782542,1,education,allowed,Large room
2782552,1,agriculture,not allowed,not assigned
2782553,2,agriculture,not allowed,not assigned
2782554,3,agriculture,not allowed,not assigned
2782555,4,agriculture,not allowed,not assigned
2782564,4,pathology,not allowed,not assigned
2782589,1,sociology,allowed,Small room
2782590,2,sociology,allowed,Small room
2782628,1,english,allowed,Large room
2782629,2,english,allowed,Large room
2782630,1,history,allowed,Medium room
2782631,2,history,allowed,Medium room
2782632,3,history,allowed,Medium room
2782647,1,bio-chemistry,allowed,Small room
2782648,2,bio-chemistry,allowed,Small room
2782652,4,physics,allowed,Medium room
2782653,1,botany,allowed,Medium room
2782654,2,botany,allowed,Medium room
2782748,1,english literature,not allowed,not assigned
2782749,2,english literature,not allowed,not assigned
2782750,3,english literature,not allowed,not assigned
2782754,1,arts,allowed,Auditorium
2782755,2,arts,allowed,Auditorium
2782756,3,arts,allowed,Auditorium
2760271,1,tax procedure and practice,not allowed,not assigned
2760273,3,tax procedure and practice,not allowed,not assigned
2760272,2,tax procedure and practice,not allowed,not assigned
2782778,1,chemistry,allowed,Medium room
2782779,2,chemistry,allowed,Medium room
2782872,1,civil engineering,allowed,Medium room
2782873,2,civil engineering,allowed,Medium room
2782874,3,civil engineering,allowed,Medium room
2782912,1,bsc bzc,not allowed,not assigned
2782913,2,bsc bzc,not allowed,not assigned
2782914,3,bsc bzc,not allowed,not assigned
2783000,1,electrical engineering,allowed,Small room
2783001,2,electrical engineering,allowed,Small room
2783002,3,electrical engineering,allowed,Small room
2783009,1,electronics & communication engineeering,not allowed,not assigned
2783010,2,electronics & communication engineeering,not allowed,not assigned
2783011,3,electronics & communication engineeering,not allowed,not assigned
2783012,1,mechanical engineering,allowed,Medium room
2783013,2,mechanical engineering,allowed,Medium room
2783014,3,mechanical engineering,allowed,Medium room
2783027,1,education,allowed,Large room
2783031,1,science,allowed,Auditorium
2783032,2,science,allowed,Auditorium
2783033,3,science,allowed,Auditorium
2783062,4,home sc. food & nutrition,not allowed,not assigned
2783074,4,political science,allowed,Small room
2783091,4,aih,not allowed,not assigned
2783103,4,philosophy,allowed,Small room
2783106,4,bengali,allowed,Small room
2783116,1,hindi,allowed,Small room
2783117,2,hindi,allowed,Small room
2783130,4,commerce,not allowed,not assigned
2783149,4,chemistry,allowed,Medium room
2783191,1,computer application,allowed,Medium room
2783192,2,computer application,allowed,Medium room
2783193,3,computer application,allowed,Medium room
2783220,1,commerce,allowed,Auditorium
2783221,2,commerce,allowed,Auditorium
2783224,1,economics,allowed,Medium room
2783225,2,economics,allowed,Medium room
2783236,1,professional  accounting,not allowed,not assigned
2783237,2,professional  accounting,not allowed,not assigned
2783238,3,professional  accounting,not allowed,not assigned
2783252,1,computer applications,allowed,Small room
2783253,2,computer applications,allowed,Small room
2783254,3,computer applications,allowed,Small room
2783267,4,physics,allowed,Medium room
2783297,1,computer applications,allowed,Small room
2783298,2,computer applications,allowed,Small room
2783299,3,computer applications,allowed,Small room
2783303,1,mathematics,allowed,Medium room
2783304,2,mathematics,allowed,Medium room
2783316,1,computer science,allowed,Medium room
2783317,2,computer science,allowed,Medium room
2781420,2,engineering & technology,allowed,Small room
2781436,2,engineering & technology,allowed,Small room
2781419,1,engineering & technology,allowed,Small room
2781422,4,engineering & technology,allowed,Small room
2781435,1,engineering & technology,allowed,Small room
2781421,3,engineering & technology,allowed,Small room
2783366,1,electronics & communication engg,allowed,Small room
2783367,2,electronics & communication engg,allowed,Small room
2783370,1,electronics & communication engg,allowed,Small room
2783371,2,electronics & communication engg,allowed,Small room
2783372,3,electronics & communication engg,allowed,Small room
2783373,4,electronics & communication engg,allowed,Small room
2783376,1,computer science and engineering,allowed,Small room
2783377,2,computer science and engineering,allowed,Small room
2783378,3,computer science and engineering,allowed,Small room
2783379,4,computer science and engineering,allowed,Small room
2783382,1,civil engineering,allowed,Medium room
2783383,2,civil engineering,allowed,Medium room
2783384,3,civil engineering,allowed,Medium room
2783385,4,civil engineering,allowed,Medium room
2783398,1,electronics & communication engg,allowed,Small room
2783399,2,electronics & communication engg,allowed,Small room
2783400,3,electronics & communication engg,allowed,Small room
2783401,1,electrical engineering,allowed,Small room
2783402,2,electrical engineering,allowed,Small room
2783403,3,electrical engineering,allowed,Small room
2783421,1,cbz,allowed,Small room
2783422,2,cbz,allowed,Small room
2783423,3,cbz,allowed,Small room
2783495,1,electrical,allowed,Medium room
2783496,2,electrical,allowed,Medium room
2783497,3,electrical,allowed,Medium room
2783515,1,arts,allowed,Auditorium
2783516,2,arts,allowed,Auditorium
2783517,3,arts,allowed,Auditorium
2783587,1,computer engg with specialization in cloud computing.,not allowed,not assigned
2783588,2,computer engg with specialization in cloud computing.,not allowed,not assigned
2783589,3,computer engg with specialization in cloud computing.,not allowed,not assigned
2783590,4,computer engg with specialization in cloud computing.,not allowed,not assigned
2783625,1,electronics & communication engg.  with specialization in  vlsi design & embedded systems,not allowed,not assigned
2783626,2,electronics & communication engg.  with specialization in  vlsi design & embedded systems,not allowed,not assigned
2783637,1,bio technology,not allowed,not assigned
2783638,2,bio technology,not allowed,not assigned
2783664,1,information technology,not allowed,not assigned
2783665,2,information technology,allowed,Small room
2783666,3,information technology,allowed,Small room
2783674,1,english,allowed,Large room
2783675,2,english,allowed,Large room
2783676,3,english,allowed,Large room
2783683,1,nutrition & dietetics,not allowed,not assigned
2783684,2,nutrition & dietetics,not allowed,not assigned
2783690,1,physiotherapy,allowed,Small room
2783691,2,physiotherapy,allowed,Small room
2783708,1,biotechnology,allowed,Small room
2783709,2,biotechnology,allowed,Small room
2783710,3,biotechnology,allowed,Small room
2783711,4,biotechnology,allowed,Small room
2783763,1,arts,allowed,Auditorium
2783764,2,arts,allowed,Auditorium
2783765,3,arts,allowed,Auditorium
2783766,1,arts,allowed,Auditorium
2783767,2,arts,allowed,Auditorium
2783768,3,arts,allowed,Auditorium
2783801,1,arts,allowed,Auditorium
2783802,2,arts,allowed,Auditorium
2783803,3,arts,allowed,Auditorium
2783804,1,science,allowed,Auditorium
2783805,2,science,allowed,Auditorium
2783806,3,science,allowed,Auditorium
2783831,1,science,allowed,Auditorium
2783832,2,science,allowed,Auditorium
2783895,1,(biotechnology)),not allowed,not assigned
2783896,2,(biotechnology)),not allowed,not assigned
2783901,1,social science,not allowed,not assigned
2783902,2,social science,not allowed,not assigned
2783905,1,lib. & info sci,not allowed,not assigned
2783958,1,electronics & comm. engg.,not allowed,not assigned
2783959,2,electronics & comm. engg.,not allowed,not assigned
2783960,4,electronics & comm. engg.,not allowed,not assigned
