id,year,course name
2777729,1,science
2777730,2,science
2777765,1,arts
2777766,2,arts
2777785,1,mba
2777786,2,mba
2777793,1,mba 2nd shift
2777794,2,mba 2nd shift
2777795,1,mca 2nd shift
2777796,2,mca 2nd shift
2777797,3,mca 2nd shift
2777798,1,bjmc
2777799,2,bjmc
2777800,3,bjmc
2777814,1,history
2777815,2,history
2777837,4,chemistry
2777858,4,botany
2604364,1,history
2604408,3,finance
2604407,2,finance
2604420,1,physics
2777899,1,computer science
2604365,2,history
2604413,2,english
2604406,1,finance
2604366,3,history
2604412,1,english
2604421,2,physics
2777900,4,commerce
2777918,1,applied science & humanities
2777919,2,applied science & humanities
2777920,3,applied science & humanities
2777924,1,political science
2777925,2,political science
2777938,1,arts
2777939,2,arts
2777940,3,arts
2777943,1,btc 2013
2777944,2,btc 2013
2777978,1,botany
2777979,2,botany
2267347,3,science
2267346,2,science
2267345,1,science
2778042,1,mobile communication
2778043,2,mobile communication
2778044,3,mobile communication
2778045,1,computer engg
2778046,2,computer engg
2778047,3,computer engg
2778048,1,digital electronics
2778049,2,digital electronics
2778050,3,digital electronics
2778069,1,science arts
2778070,2,science arts
2604139,1,arts
2604140,2,arts
2778185,1,molecular virology
2778186,2,molecular virology
2778023,2,commerce
2778021,3,science
2778020,2,science
2778019,1,science
2778022,1,commerce
2778014,1,english geography
2778015,2,english geography
2778024,3,commerce
2778255,1,science
2778256,2,science
2778257,3,science
2778347,1,arts
2778348,2,arts
2778349,3,arts
2778352,1,chemistry
2778353,2,chemistry
2778412,1,physics
2778413,2,physics
2778444,1,economics
2778445,2,economics
2778446,3,economics
2778456,1,chemical engineering
2778457,2,chemical engineering
2778458,3,chemical engineering
2778459,4,chemical engineering
2778460,5,chemical engineering
2778463,1,infra structural engineering
2778464,2,infra structural engineering
2778512,1,electronics & communication engineering
2778513,2,electronics & communication engineering
2778514,3,electronics & communication engineering
2778515,4,electronics & communication engineering
2778516,1,drugs and pharmaceuticals
2778517,2,drugs and pharmaceuticals
2778528,1,fibre optics and communication
2778529,2,fibre optics and communication
2778552,1,mechanical engineering
2778553,2,mechanical engineering
2778554,3,mechanical engineering
2778555,4,mechanical engineering
2778556,5,mechanical engineering
2778557,1,computer science & engineering
2778558,2,computer science & engineering
2778559,3,computer science & engineering
2778560,4,computer science & engineering
2778561,1,civil engineering
2778562,2,civil engineering
2778563,3,civil engineering
2778564,4,civil engineering
2778565,5,civil engineering
2778597,1,d.el.ed
2778598,2,d.el.ed
2778618,1,bengali
2778619,2,bengali
2778620,3,bengali
2778723,1,bengali
2778724,2,bengali
2778725,3,bengali
2778784,1,ece
2778785,2,ece
2778786,3,ece
2778787,4,ece
2778806,1,management
2778807,2,management
2778808,3,management
2778809,1,management
2778810,2,management
2778811,3,management
2778818,1,civil
2778819,2,civil
2778820,3,civil
2778839,1,mathematics
2778840,2,mathematics
2778841,3,mathematics
2778845,1,commerce
2778846,2,commerce
2778847,3,commerce
2778869,1,english
2778870,2,english
2778871,3,english
2639157,2,arts
2639158,3,arts
2639156,1,arts
2778896,1,arts
2778897,2,arts
2778898,3,arts
2779070,1,general
2779071,2,general
2779072,3,general
2779091,1,microbiology-botany-chemistry
2779092,2,microbiology-botany-chemistry
2779093,3,microbiology-botany-chemistry
2779094,1,b.b.m
2779095,2,b.b.m
2779096,3,b.b.m
2779182,1,science
2779183,2,science
2779184,3,science
2779219,1,commerce
2779220,2,commerce
2779221,3,commerce
2779222,4,commerce
2779286,1,music
2779287,2,music
2779288,3,music
2779289,4,music
2779300,1,sociology
2779301,2,sociology
2779302,3,sociology
2779303,4,sociology
2779304,1,mathematics
2779305,2,mathematics
2779306,3,mathematics
2779318,1,philosophy
2779319,2,philosophy
2779320,3,philosophy
2779321,4,philosophy
2779322,1,english
2779323,2,english
2779324,3,english
2779325,4,english
2779341,1,english
2779342,2,english
2779343,3,english
2779350,1,botany
2779351,2,botany
2779352,3,botany
2779362,1,sanskrit
2779363,2,sanskrit
2779364,3,sanskrit
2605328,2,mathematics
2605304,1,sociology
2605318,1,urdu
2605329,3,mathematics
2605319,2,urdu
2605327,1,mathematics
2605306,3,sociology
2605305,2,sociology
2605320,3,urdu
2779378,1,co
2779379,2,co
2779380,3,co
2779390,1,education
2779411,1,science
2779412,2,science
2779413,3,science
2779417,1,education
2779418,2,education
2779419,1,general
2779420,2,general
2779421,3,general
2779439,1,mechanical
2779440,2,mechanical
2779441,3,mechanical
2779453,1,commerce
2779454,2,commerce
2779476,1,pali
2779477,2,pali
2779478,3,pali
2779518,1,zoology
