Number,Height,Weight
1,176.0,85.2
2,175.3,67.7
3,168.6,75.2
4,168.1,67.1
5,175.3,63.0
6,175.4,72.7
7,181.5,87.9
8,174.2,64.5
9,176.4,57.5
10,175.8,66.4
11,162.9,81.4
12,176.2,66.7
13,173.5,72.9
14,163.9,55.2
15,165.6,69.3
16,176.4,66.5
17,174.4,71.6
18,178.4,70.5
19,175.7,84.8
20,178.2,73.6
21,169.5,70.2
22,160.0,59.0
23,167.6,70.8
24,171.2,75.5
25,154.4,47.1
26,177.7,84.6
27,163.0,80.2
28,180.4,60.0
29,169.7,83.9
30,184.8,83.0
31,164.2,81.2
32,166.2,80.8
33,172.8,83.9
34,168.9,55.3
35,176.0,69.7
36,173.2,63.9
37,174.9,59.1
38,170.7,58.7
39,175.9,85.3
40,157.4,60.5
41,172.3,56.0
42,170.5,59.6
43,164.7,76.6
44,168.0,53.1
45,169.4,61.5
46,168.6,73.6
47,180.0,59.9
48,178.8,77.8
49,175.3,69.1
50,182.9,79.4
51,179.9,70.0
52,164.9,71.7
53,167.1,74.9
54,178.1,85.8
55,166.9,63.0
56,169.6,85.2
57,183.0,86.9
58,174.4,69.2
59,160.7,66.7
60,181.0,76.4
61,170.0,55.2
62,164.5,55.3
63,175.0,71.6
64,168.6,84.4
65,164.3,57.4
66,166.6,81.5
67,177.8,73.1
68,165.3,76.3
69,166.7,61.6
70,172.6,64.6
71,173.1,78.6
72,167.1,81.8
73,172.9,63.5
74,173.0,72.7
75,176.0,69.8
76,166.5,56.9
77,157.8,62.8
78,186.4,64.5
79,174.3,74.7
80,180.7,64.4
81,174.3,82.5
82,175.5,76.7
83,174.3,61.9
84,168.5,70.6
85,179.2,76.0
86,179.3,85.3
87,167.6,57.2
88,173.6,63.0
89,168.3,64.1
90,171.3,73.3
91,176.2,71.9
92,174.2,66.9
93,182.6,64.0
94,175.4,67.2
95,169.7,70.0
96,172.5,60.8
97,175.3,70.7
98,177.7,76.3
99,174.9,88.3
100,172.9,78.5
101,175.7,66.4
102,180.4,82.5
103,173.2,84.1
104,183.9,74.8
105,172.3,82.7
106,166.8,72.5
107,175.8,61.2
108,174.8,74.2
109,180.2,88.7
110,177.6,76.5
111,173.6,79.7
112,160.6,77.7
113,168.8,69.5
114,174.9,69.2
115,173.9,84.5
116,179.8,74.6
117,180.3,76.6
118,171.0,86.0
119,169.0,66.9
120,169.6,64.8
121,176.9,89.2
122,180.9,73.9
123,164.6,58.2
124,172.7,71.4
125,171.5,58.3
126,172.4,73.8
127,165.6,72.0
128,166.2,64.9
129,173.7,87.5
130,176.4,74.6
131,159.5,69.7
132,169.3,66.3
133,176.2,74.8
134,181.4,71.1
135,168.1,76.3
136,174.8,62.5
137,184.2,85.4
138,172.8,75.0
139,180.4,83.9
140,177.1,58.1
141,174.3,60.8
142,178.4,88.6
143,174.4,70.3
144,181.7,90.0
145,171.3,60.2
146,178.9,83.4
147,162.1,59.1
148,172.0,67.4
149,176.2,82.2
150,173.7,60.8
151,181.8,72.2
152,169.9,76.1
153,171.5,82.4
154,176.0,85.0
155,179.2,64.1
156,166.4,81.9
157,178.3,66.3
158,166.0,62.7
159,165.0,76.5
160,176.6,86.5
161,170.8,84.4
162,170.7,67.1
163,189.4,83.5
164,172.2,71.1
165,179.4,89.2
166,176.0,69.7
167,175.4,58.7
168,166.8,77.1
169,166.7,71.4
170,167.2,65.9
171,172.4,77.5
172,175.2,57.8
173,168.4,84.3
174,176.3,61.3
175,172.3,62.1
176,179.8,70.8
177,170.5,82.8
178,165.5,66.7
179,172.9,78.0
180,171.6,74.9
181,166.1,60.2
182,168.1,63.3
183,175.3,86.4
184,177.6,80.2
185,178.2,86.1
186,179.8,64.8
187,181.8,76.4
188,176.4,87.2
189,178.0,70.4
190,173.7,63.3
191,171.4,58.4
192,174.8,69.3
193,175.6,74.9
194,181.2,75.6
195,178.9,71.5
196,172.7,84.2
