line,station,in,out
중앙선,지평,37,28
중앙선,용문,2064,2103
중앙선,원덕,375,357
중앙선,양평,4338,4378
중앙선,오빈,321,321
중앙선,아신,589,595
중앙선,국수,908,844
중앙선,신원,213,199
중앙선,양수,1804,1778
중앙선,운길산,668,594
중앙선,팔당,747,726
중앙선,도심,2907,2323
중앙선,덕소,6745,6726
중앙선,양정,912,741
중앙선,도농,10106,8899
중앙선,구리,15589,15783
중앙선,양원,1705,1744
중앙선,망우,8154,8140
중앙선,상봉(시외버스터미널),6160,5924
중앙선,중랑,6082,5828
중앙선,회기,28113,27527
장항선,신창(순천향대),1134,1103
장항선,온양온천,4629,4677
장항선,배방,1018,968
장항선,아산,2409,2169
장항선,쌍용(나사렛대),2136,2009
장항선,봉명,1448,1397
일산선,대화,15991,12590
일산선,주엽,10840,11082
일산선,정발산,8767,9156
일산선,마두,9642,10034
일산선,백석,12688,12561
일산선,대곡,1791,1271
일산선,화정,20869,20188
일산선,원당,12787,12365
일산선,삼송,17467,16696
일산선,원흥,9720,8797
우이신설선,신설동,1980,2052
우이신설선,보문,1665,1751
우이신설선,성신여대입구(돈암),3882,4168
우이신설선,정릉,4474,4168
우이신설선,북한산보국문,6026,5774
우이신설선,솔샘,6052,5697
우이신설선,삼양사거리,2569,2731
우이신설선,삼양,2054,2313
우이신설선,화계,3483,3328
우이신설선,가오리,4645,4712
우이신설선,4.19민주묘지,2848,2795
우이신설선,솔밭공원,2531,2420
우이신설선,북한산우이,2634,2351
안산선,수리산,4872,3845
안산선,오이도,9808,9504
안산선,정왕,7767,8607
안산선,신길온천,1758,1558
안산선,안산,14886,13387
안산선,초지,3493,3542
안산선,고잔,9172,8745
안산선,중앙,18319,18985
안산선,한대앞,8870,9003
안산선,상록수,20812,20647
안산선,반월,5032,4740
안산선,대야미,4715,4154
안산선,산본,19522,20901
수인선,인천,968,1703
수인선,신포,1972,2100
수인선,숭의,4122,3790
수인선,인하대,5726,5335
수인선,송도,3157,2855
수인선,연수,5260,5310
수인선,원인재,4809,4929
수인선,남동인더스파크,2392,2622
수인선,호구포,3948,4000
수인선,인천논현,6516,6818
수인선,소래포구,4507,4270
수인선,월곶,2448,2195
수인선,달월,77,43
분당선,매교,2627,1184
분당선,수원시청,12589,13868
분당선,매탄권선,5146,4890
분당선,망포,15655,14673
분당선,영통,9976,10284
분당선,청명,4855,4600
분당선,상갈,6217,5898
분당선,기흥,10800,10456
분당선,신갈,5573,5381
분당선,구성,5566,5585
분당선,죽전,16306,18453
분당선,보정,3147,2579
분당선,이매,6582,6171
분당선,오리,14884,12513
분당선,미금,19646,20693
분당선,정자,19530,21002
분당선,수내,16552,16796
분당선,서현,31630,32282
분당선,야탑,31865,33420
분당선,모란,23544,23583
분당선,태평,15566,15233
분당선,가천대,8066,9263
분당선,선정릉,9466,10279
분당선,강남구청,11261,12793
분당선,압구정로데오,17540,19608
분당선,서울숲,8548,8557
분당선,수원,9269,6403
분당선,복정,3,0
분당선,수서,15356,15914
분당선,대모산입구,3637,3418
분당선,개포동,3468,3574
분당선,구룡,1513,1538
분당선,도곡,7413,7580
분당선,한티,16341,17387
분당선,선릉,12604,22241
과천선,범계,31697,30939
과천선,평촌,20294,20008
과천선,인덕원,28319,29175
과천선,정부과천청사,13133,12739
과천선,과천,5518,5035
과천선,대공원,2930,3103
과천선,경마공원,1080,1062
과천선,선바위,10268,8298
공항철도 1호선,영종,2317,2365
공항철도 1호선,인천공항2터미널,4841,4806
공항철도 1호선,인천공항1터미널,13099,15708
공항철도 1호선,공항화물청사,2795,3155
공항철도 1호선,운서,6846,6876
공항철도 1호선,청라국제도시,6788,6380
공항철도 1호선,검암,9122,8713
공항철도 1호선,계양,11984,11002
공항철도 1호선,김포공항,10217,7090
공항철도 1호선,마곡나루,5653,4888
공항철도 1호선,디지털미디어시티,15099,13138
공항철도 1호선,홍대입구,10712,10477
공항철도 1호선,공덕,2565,3184
공항철도 1호선,서울역,11305,9539
경춘선,춘천,1521,1312
경춘선,남춘천,2381,2553
경춘선,김유정,349,357
경춘선,강촌,383,318
경춘선,백양리,253,211
경춘선,굴봉산,152,126
경춘선,가평,1757,1874
경춘선,상천,261,232
경춘선,청평,2146,1880
경춘선,대성리,492,386
경춘선,마석,4094,4088
경춘선,천마산,1697,1441
경춘선,평내호평,6278,6082
경춘선,금곡,1636,1541
경춘선,사릉,3708,3531
경춘선,퇴계원,3868,3453
경춘선,별내,2696,2549
경춘선,갈매,3025,2628
경춘선,신내,764,810
경인선,도화,4603,4272
경인선,중동,10702,10177
경인선,온수(성공회대입구),7351,7094
경인선,도원,3289,3282
경인선,간석,7081,6773
경인선,부개,10306,9825
경인선,소사,11439,10822
경인선,구일,6939,6985
경인선,인천,3571,2725
경인선,동인천,17181,16452
경인선,제물포,11318,10719
경인선,주안,23799,21529
경인선,동암,19010,18686
경인선,백운,8954,8956
경인선,부평,37994,40635
경인선,송내,35809,35332
경인선,부천,40069,40260
경인선,역곡,32146,31410
경인선,오류동,13208,12473
경인선,개봉,25414,26446
경의선,홍대입구,1,0
경의선,문산,5992,5825
경의선,파주,1236,838
경의선,월롱,2423,2173
경의선,금촌,7125,6898
경의선,금릉,4949,4705
경의선,운정,6369,5947
경의선,야당,5498,5255
경의선,탄현,8395,8184
경의선,일산,10942,11019
경의선,풍산,5738,5484
경의선,백마,7673,7159
경의선,곡산,592,570
경의선,능곡,3970,3580
경의선,행신,8640,8421
경의선,강매,3235,2701
경의선,화전,1952,1767
경의선,수색,2624,2661
경의선,디지털미디어시티,2180,2071
경의선,가좌,5638,5292
경의선,홍대입구,1746,2219
경의선,서강대,2201,2164
