Name,Hours
The Elder Scrolls V Skyrim,273.0
Fallout 4,87.0
Spore,14.9
Fallout New Vegas,12.1
Left 4 Dead 2,8.9
HuniePop,8.5
Path of Exile,8.1
Poly Bridge,7.5
Left 4 Dead,3.3
Team Fortress 2,2.8
Tomb Raider,2.5
The Banner Saga,2.0
Dead Island Epidemic,1.4
BioShock Infinite,1.3
Dragon Age Origins - Ultimate Edition,1.3
Fallout 3 - Game of the Year Edition,0.8
SEGA Genesis & Mega Drive Classics,0.8
Grand Theft Auto IV,0.6
Realm of the Mad God,0.5
Marvel Heroes 2015,0.5
Eldevin,0.5
Dota 2,0.5
BioShock,0.5
Robocraft,0.4
Garry's Mod,0.1
Jazzpunk,0.1
Dota 2,2.3
Ultra Street Fighter IV,238.0
FINAL FANTASY XIII,84.0
The Elder Scrolls V Skyrim,58.0
Sid Meier's Civilization V,22.0
L.A. Noire,13.8
Company of Heroes Tales of Valor,10.2
7 Days to Die,7.8
Divekick,7.0
FINAL FANTASY VII,5.2
Orcs Must Die! 2,4.8
Killing Floor,3.4
Company of Heroes,3.2
Bastion,2.8
Undertale,2.6
Counter-Strike Global Offensive,2.3
Orcs Must Die!,0.7
THE KING OF FIGHTERS XIII STEAM EDITION,0.6
GUILTY GEAR XX ACCENT CORE PLUS R,0.5
Skullgirls,0.4
Assassin's Creed II,0.3
Company of Heroes Opposing Fronts,0.1
Team Fortress 2,0.1
Grand Theft Auto V,86.0
Insurgency,72.0
Left 4 Dead 2,71.0
METAL GEAR SOLID V THE PHANTOM PAIN,59.0
S.T.A.L.K.E.R. Shadow of Chernobyl,54.0
S.T.A.L.K.E.R. Call of Pripyat,50.0
Saints Row The Third,35.0
Far Cry 3,35.0
S.T.A.L.K.E.R. Clear Sky,35.0
Rocket League,34.0
Assassin's Creed II,33.0
Far Cry 4,32.0
Prototype,25.0
Space Pirates and Zombies,24.0
Dying Light,23.0
Just Cause 2,23.0
Mirror's Edge,23.0
Mad Max,22.0
Portal 2,21.0
Deus Ex Human Revolution,21.0
Middle-earth Shadow of Mordor,19.6
RUNNING WITH RIFLES,18.5
Deus Ex Human Revolution - Director's Cut,18.3
Batman Arkham City GOTY,16.9
Tropico 4,14.3
Cave Story+,13.7
Dust An Elysian Tail,13.4
F.E.A.R.,12.5
South Park The Stick of Truth,12.2
Sleeping Dogs,11.5
Watch_Dogs,11.2
Saints Row IV,11.1
DayZ,11.0
Half-Life 2,10.2
Reassembly,10.1
Sid Meier's Civilization III Complete,9.8
The Talos Principle,9.8
DiRT 3,9.7
FTL Faster Than Light,9.7
Bastion,9.6
Age of Empires II HD Edition,9.0
Batman Arkham Asylum GOTY Edition,8.9
Gunpoint,8.6
Rebuild 3 Gangs of Deadsville,8.4
Recettear An Item Shop's Tale,8.3
Metro 2033,7.8
Monaco,7.6
Fallout New Vegas,7.5
Overgrowth,7.3
Assassin's Creed III,7.2
Ori and the Blind Forest,7.0
Far Cry 3 Blood Dragon,6.7
Burnout Paradise The Ultimate Box,6.6
PROTOTYPE 2,6.4
Game Dev Tycoon,6.4
Sniper Elite 3,6.2
Gratuitous Space Battles,6.0
Sid Meier's Civilization V,5.9
Rogue Legacy,5.7
Plague Inc Evolved,5.6
From Dust,5.6
Next Car Game Wreckfest,5.5
Rivals of Aether,5.5
Half-Life 2 Episode Two,5.5
Rise of Nations Extended Edition,5.2
Nidhogg,4.9
Spec Ops The Line,4.4
Dishonored,4.3
Half-Life 2 Episode One,4.2
Wolfenstein The New Order,4.0
Distance,4.0
Epic Battle Fantasy 4,4.0
Metro Last Light,3.7
Miasmata,3.4
Dead Space,3.3
Hotline Miami,3.2
NOT A HERO,3.0
Receiver,2.9
Crypt of the NecroDancer,2.8
Portal,2.8
F.E.A.R. 2 Project Origin,2.8
NaissanceE,2.7
SteamWorld Dig,2.6
Kairo,2.5
SNOW,2.5
The Binding of Isaac,2.4
LEGO The Lord of the Rings,2.2
METAL GEAR RISING REVENGEANCE,2.2
Starpoint Gemini 2,2.0
The Vanishing of Ethan Carter,1.9
Goat Simulator,1.9
Mass Effect,1.9
Arma 2 Operation Arrowhead,1.8
METAL GEAR SOLID V GROUND ZEROES,1.8
Banished,1.8
DiRT Showdown,1.7
Left 4 Dead,1.7
Sonic Adventure 2 ,1.6
Grand Theft Auto IV,1.5
Battlestations Midway,1.4
HOARD,1.4
Sunless Sea,1.3
Mark of the Ninja,1.3
L.A. Noire,1.3
Creeper World 3 Arc Eternal,1.1
Turbo Dismount,1.1
Floating Point,1.1
Grow Home,1.1
LUFTRAUSERS,1.0
Arma 2,1.0
No Time To Explain Remastered,0.9
FEZ,0.9
Delver,0.9
The Legend of Heroes Trails in the Sky,0.9
Evoland,0.9
Bleed,0.8
Borderlands 2,0.8
Race The Sun,0.8
Shadowgrounds,0.8
They Bleed Pixels,0.8
BioShock,0.8
Trine,0.8
"Sir, You Are Being Hunted",0.8
Next Car Game Sneak Peek 2.0,0.7
Symphony,0.7
DLC Quest,0.7
Far Cry 2,0.7
The Stanley Parable,0.6
Freedom Planet,0.6
KHOLAT,0.6
Osmos,0.6
Secrets of Rtikon,0.6
Oil Rush,0.6
Unepic,0.6
FINAL FANTASY VII,0.6
The Legend of Korra,0.5
404Sight,0.5
Dark Souls Prepare to Die Edition,0.5
Gravity Ghost,0.5
Psychonauts,0.5
Rock of Ages,0.5
Spore,0.5
Half-Life 2 Lost Coast,0.5
Galcon Legends,0.5
Air Brawl,0.5
Cat Goes Fishing,0.5
One Finger Death Punch,0.5
Mind Path to Thalamus Enhanced Edition,0.4
INK,0.4
Intrusion 2,0.4
Amnesia The Dark Descent,0.4
Fieldrunners,0.4
Out There Somewhere,0.4
KAMI,0.4
Lone Survivor The Director's Cut,0.4
NightSky,0.4
Frozen Synapse,0.4
